ID	PSET	VSET	PRONOUN	VERB	GENDER		ANSWER
						Sgwa²³nị³je¹sdv⁴ɂi	New Mexico
						sgwe²hnv⁴ɂi	fist
						sgwu³, v¹sgwu³	also
						si	wait
						si	yet, still
						si⁴ga	one day
						sị²gị²gi	katydid
						si²³gwu	again, more
						sih²gwa	pig
						si²³hnv	than
						si²nv⁴da	one month
						skọ²ni²³yi	overseas
						so²³gwị³li	horse
						so²³gwị³li dị²gạɂ²le²³nv³hi²da	donkey, mule
						sọ²hi	hickory nut
						sọ³hne²³la	nine
						sọ³hne²li²ne⁴ɂi	ninth
						sọ²ɂi²³yi	in the next room
						su²dạ²le⁴gi	one topic, one matter
						su²³dạ³li	six
						su²dạ²li²ne⁴ɂi	sixth
						su²de²tị²yv⁴da	period of one year
						su¹ge²³da	dough
						suh³di	fishhook
						su²li	buzzard
						sụ²na³le⁴ɂi, sị²na³le¹ɂi	tomorrow
						sụ²na³le⁴ɂi sv²hị²ye⁴ye	tomorrow evening
						su²sv²³hị²da	overnight
						sv²do²ni	1. barrel 2. tub
						sv¹gi	onion
						sv²hi	yesterday
						sv²hi sụ²na³le⁴ɂi	yesterday morning
						sv²hi sv²hị²ye⁴yi	yesterday evening
						sv²hi ụ²sv¹ɂi	night before last
						sv²hị²ye⁴yi	in the evening
						sv²³kta	apple
						sv²nạ²do²³dạ²gwa¹sdi	one week
						sv²no²³yi	at midnight
						tạɂ³li	two
						tạɂ²li²ne⁴ɂi	second
						Tạɂ²li²ne⁴ I²ga	Tuesday
						tạ²lu²gi¹sgi	1. can  2. metal  3. steel  4. tin
						tạ²lu²gi¹sgi dị²ka²nv²wi⁴sgi	welder
						tạ²lu²gi¹sgi dị²kạ²nv²³wo¹doh²di	1. solder  2. welding rod
						tạ²lu²³ja	basket
						tạ²ma²hli	tomato
						tạ²wo²³di	hawk
						teh²ga	toad
						tị²na	louse
						tị²yo²³hạɂ³li	lizard
						tlv²³de³gwa	eel
						to¹hi⁴gwu	just fine
						to⁴ɂi	motionless
						to¹ju²³hwa	redbird
						to²³lạ³tsga	grasshopper
						tsgị²li	ghost
						tsgo²³ya	bug
						tsgwạ²le³gwạ²la	whippoorwill
						tsgwi⁴sdi	a lot, many
						tu²le²³ji	tonsils
						tu²³ya	beans
						tvh²ga	housefly
						u¹da²do²³li³²sdi	he's praying
						u¹da²ge²yu³ha	he loves
						u²da²hni²³la³ge³ɂi	ordained minister
						u²da²hni²³lạ³ge³ɂi	oldest member of family
						u²da²³jạ²tdi	reckless
						u²dạ²lẹ²ɂhi	bad omen
						u²dạ²lị²ɂi	his wife
						u²da²lv⁴kwdi	snobbish
						u²da²³nạɂ²ni	store owner
						u¹dạ²ne³go²yu³ha	it's wrinkled
						u¹dạ²ne²hv⁴ɂi	puddle
						u²danh²do	his heart
						u¹danh²ta	he feels
						u²danh⁴ti	1. friendly 2. gentle 3. pleasant
						u²danh²ti²sạ²hnv⁴ɂi	tamed
						u²dạ²nv²gạ²lv⁴da	clean
						u²dạ²nv²hi⁴da	a long distance
						u¹dạ²nv²hnv⁴ɂi	row
						u²da²sdv²³di³²sdi	punishment
						u¹da²³wạ³di³²sgv⁴i	in the shade
						u¹dạ²yv²la³ta	it's in view
						u²de²ho²³hi²sdi	embarrassment
						u²dẹ²ho²³sạ²ti	bashful
						u¹de²li²³sga³lv²hv⁴ɂi	ditch
						u¹de²tị²yị³ha	he's having a birthday
						u²di¹gwạ²lv²de³yị²da	bolt, screw
						u¹di²hleh³ga	it's hot
						u¹di²hlẹ³hṿ³sga	he has a fever
						u¹di²sgạ³hla	he's in hiding
						u¹diw³²sga	he's getting well
						u¹di³yv²dạɂ³dv⁴ɂi	his navel
						u¹dlạ²nv²da	there's an opening
						u¹dlạ²nv²dạɂdẹ²ha	he has time
						u¹dla³²si²tv³ɂe²ha	he's disbelieving
						u²dla¹si²³tṿ³ɂe⁴hi	nonbeliever
						u¹dle³ga	he's taking revenge
						ụ²dli	away from
						u¹dli³ɂạ²da	he's wearing an earring
						u²dlo²³na¹sdi	hypocrite
						u²dlo¹si²nv²³da	dewberries
						u²dlv²dạ²lv⁴da	splinter
						u¹dlv³ga	he's sick
						u²dlv⁴gi	patient, sick person
						u²dlv⁴kwdi	sophisticated
						u²do	1. his sister  2. her brother
						u²do²da	his father
						u²do²³dạ²gwạ²da	all day
						U¹do²³dạ³gwa¹sgv⁴ɂi,U¹nạ²do²³dạ³gwa¹sgv⁴ɂi	Sunday
						u¹do²³dạ³gwi²di³sv⁴ɂi	during the day
						U²do²³dạ³gwọ²hnv⁴ɂi, U²nạ²do²³dạ³gwọ²hnv⁴ɂi	Monday
						u²do²hị²yu⁴	really, very
						u¹dụ³ha	he's standing in liquid
						u²du²ji	his uncle
						u¹du²lị³ha	he wants it
						u¹dv²nv³ɂi²sdi	he's willing
						u²gạ²lo²³ga	leaf
						u²³gạ³ma	soup
						u²gạ²na⁴sda	sweet
						u²ga²³nạ²wa	warm
						U²ga²³nạ²wa	Democrat
						U¹ga²nạ²wo²sga	1. he's becoming warm  2. he's warming himself
						u¹ganh²dạɂ³dv⁴ɂi	page
						u¹ge²yụ³ha	1. he's possessive of her, it  2. he loves her
						u²ge²yu²³hnạ²ɂi	possessive stingy person
						u²gi¹dạ³hli	feather
						U²gị²jv⁴da ị²yv⁴ɂi	next morning
						u²gị²tsde⁴yi	dawn
						u¹go³²di	more
						u²³go¹di	much, a lot of
						u¹go²hni²³yo³²ga	he's late
						u¹go²sga	1. it's decaying  2. it's spoiling
						u²go²³sị²da	rotten
						u²gu¹ku	hoot owl
						u²gv²³hạ²hli	part
						u¹gv²wị²yụ³ha	instead
						u²³ha	he has a solid object
						u¹hạ²hlo³gẹ²ha	he's yawning
						u²hạ²lv²ni	bell
						u¹hạ²ne³gạɂ²lv⁴ɂi	his lip
						u¹hạ²wo³sdị²ha	he's smothering, suffocating
						u¹hi³sạ²ta	there's dew
						u¹hi²soh²da³²nẹ²ha	1. he's lonesome  2. he's homesick
						u¹hi²soh³di	it's lonesome
						u²hlị²ni²³gị²da	powerful, strong
						ụ²hli⁴sda	quickly
						u²hlọ²gi	his, her aunt
						u²hlo⁴yi	same kind of
						u¹hna⁴	there
						u¹hnạ²lu³dv⁴ɂi	island
						u¹hna²³lv³²ga	he's becoming angry
						u¹hna²³lṿ³ha	he's angry
						u²hna¹sde²³dla	root
						u²hna¹sde²³dlv⁴ɂi	its root
						u¹hna³²sgwạ²lo³ɂa	stubbing his toe
						u²hna¹su²³ga	possum grape
						u¹hna³²suh²gạ²hlv⁴ɂi	his toenail
						u¹hnạ²wa³²sdị²ha	he has a chill
						u²hnạ²wo	his shirt
						u¹hne²lv³sv⁴ɂi	his scar
						u²³hnị³ha	he's in bed
						u¹hnihl²gv⁴ɂi	stump
						u²hno⁴sda	one dollar
						u¹hnu³²wa	he's wearing a shirt, coat
						u¹hnv²kwo²lạ²tv⁴ɂi	rainbow
						u¹hnv³si²yv⁴ɂi	corner
						u²hwạ²ge⁴da	thick
						u¹hwạ²sga	he's buying it
						u²hye⁴hi	her husband
						u¹hyo²lụ³ha	he, it's afloat
						u²hyo²³na	horn
						u²hyv²dla	cold
						u²hyv⁴dla	cold
						U²hyv⁴dla	Republican
						u²hyv²dla u¹ni³yị²ha	he has a cold
						u¹hyvh²jị²nv²tga	He's choking on it
						u¹hyṿ²sde³ɂa	He's getting drunk
						u²hyṿ²sde⁴da	drunk
						u²hyṿ²sde⁴sgi	drunkard
						u¹jạ³a	he's inside it
						u²jạ²le⁴sdi	wheat
						u²³jạ²ti	a lot
						u²je²li	his, her
						u¹je²tsdi	he's grinning
						u²je⁴tsdi	possum
						u²ji	his mother
						u²ji²lv³ɂi	cotton
						u²ji²ya	worm
						u¹jo²nạ³ta	it's rattling
						u²jo²nạ²ti	rattlesnake
						u²jo⁴sdi	confusing
						u²ka²hyo⁴da	dry
						u²ka²hyo⁴dv⁴ɂi	dry place
						u¹kạ²tv⁴ɂhi	his face
						u¹ke²³da³li²yv⁴ɂi	valley
						u¹ksa²ta	it's sticking out
						u¹kse²sdi	1. he's watching him, 2. he's being careful
						u²kso¹ja²ne⁴da	goat
						u²ksu³ti	diamondback rattler
						u²kta	1. grain, 2. seed
						u¹kṿ²hạ³da	it's foggy
						u²³kv¹hị²sdi	cute
						u¹kwo²³le³²ga	he's not having any luck hunting
						u²la¹sih²de⁴ni	his foot
						u²la¹su²³lo	his shoe
						u¹le²na²³hi³ha	he's losing his way
						u¹li²³da³²sdi²ha	he's making a mistake
						u²li²go²³hv²sdi	fall
						u²li²ji¹sgwa²ne⁴da	curly
						u²li²jo²³hi³da	fat
						u²li²ksi	intestine
						u³li²sdi	weak
						u¹li²³ye³²di²ha	he's moaning
						u¹li²ye³²su²stga	he's wearing a ring
						u¹lo³²gi²la	it's cloudy
						u²lo¹gi³li	cloud
						ul¹sda³²hnẹ²ha	it's happening to him
						ul²sdu²ɂi⁴da	open
						ul¹sdu³la	he's wearing a cap
						ul²sge⁴da	important
						ul¹sgwa²lu³da	he's sticking his head out
						ul¹sgwe³tuh²ga	he's wearing a hat
						ul¹sih³ga	it's dark
						ul²³sih²gi	dark
						ul²su²³hwi²da	colored
						u²lv²³da	poinson ivy
						u¹lv²³kwdi	he likes it, him
						u²lv²³sạɂ²di	glass
						u¹nạ³ɂa	he has a flexible object
						u²nạ²da²de¹sv⁴da	chain
						u²nạ²la¹sgahl³di⁴ɂi	1. ball field, 2. field house
						u¹nạ²li³gọ²ha	they're together
						u²na²li⁴ɂi	his friend
						u²nạ²li⁴kdi	his girlfriend or boyfriend
						u²na²lo³ɂị²da	plaid
						u²ne⁴ga	white
						u¹ne³gạ²ɂlv⁴ɂi	his skin
						uɂne³gihl²di	ugly
						u¹ne²³gu³²ja	he's being mean
						u²ne²gu³jị²da	cruel, mean
						u²ne²gv²ha⁴ɂi	blanket
						u¹nẹ³ha	he has liquid
						u²ne²³hlạ³nv⁴hi, u²ne²³hlạ³nv²hi	1. creator, 2. God
						u²ne²³sdạ³la	ice
						unh²³ji	snow
						unh¹ta	he knows it
						u²no¹de⁴na	sheep
						u¹no²hyvh³ga	it is sounding
						u²no²le	wind, air, storm, tornado
						U²no²lv¹tạ²na	January
						u²nv²³di	milk
						u²nv²³ji³da	brain
						u¹sạ²no	her dress
						u¹sda³²gạ²lv⁴ɂi	cave
						u²sdạ²gạ²yv²³hị²da	crisp
						u²sda¹yṿ²³hv²sgi	his wife
						u²sdi⁴	baby
						ụ²sdi⁴	little
						ụ²sdi⁴ gạ²nv²hnv⁴ɂi	trail
						u¹sdị²ne³gạ²ɂlv⁴ɂi	his scalp
						u¹sdv²dị³ɂa	he's receiving punishment
						u²se²ga¹jv⁴ɂi, se²ga¹jv⁴ɂi	barely
						u²sgạ²no⁴li	slow
						u²sgo⁴sdi	bright
						u²³sgwạ²nị²kdi	interesting
						u²sgwo²hli⁴ɂi	his abdomen, stomach
						u²³sị²hwa	empty
						u¹sị²hwạ³sga	he's coughing
						ụ²ska	head, skull
						u¹so²tv⁴ɂi	behind a person
						u³suh²gạ²hlv⁴ɂi	his claw
						u³su²la	he's wearing pants
						u¹su²lo	his pants
						u²sv²de⁴na	shotgun
						u²sv²do⁴ni	conduit, pipe
						u¹sv²hị³ha	he's going to bed
						ụ²sv⁴ɂi	night
						u¹tạ²de²gi³ɂa	he's thirsty
						u¹tạ²hlạ²wo²sga	he's becoming enraged
						u²³tạ²na	big, large
						u²tạ²ni⁴	too big, large
						u²tạ²no²³lv⁴da	steam
						u²ti²yv²³hnv⁴ɂi	leftovers
						u¹tsgwạ²lv²tv⁴ɂi	his ankle
						u²³tsgwị²di	crooked
						u²tsgwi⁴sdi	a lot
						u²tu¹gi	hope
						u¹tv²da³²sdi	he's listening to him, it
						u²tṿ²so²hnv⁴ɂi	old man
						u¹wa³ɂị²hlv⁴ɂi	bush
						u¹wa²kew²sga	he's forgetting
						u¹wa²ku²³le³²ga	he's belching, burping
						u¹wa³na²wị³ɂa	he's shivering
						ụ²wan²sv⁴ɂi	ripe
						u¹wạɂ³ni	wool
						u¹wa²nv³ga	he's in a hurry
						ụ²wa⁴sa	alone, only
						ụ²wa¹sv⁴hi	numb
						u¹waw²sv³²ga	he smells it
						u¹wa³²ya	he has a long object
						u¹we²hị²sda³²nẹ²ha	he's aching, hurting
						u¹we²hluh³ga	he's yelling, howling, meowing, etc.
						ụ²we²³hnạ²ɂi	wealthy
						ụ²we²³ji	egg
						ụ²we²³ji	his offspring, child
						ụ²we²la	liver
						u¹we²li²³hị³ɂa	he's worried, anxious
						ụ²we²li²³hi⁴sdi	worried
						u¹we³yv⁴ɂi	creek, river, stream
						ụ²wo²de²³hwi⁴da	damp
						ụ²wo²³dị³ge⁴ɂi	brown
						ụ²wo²du⁴hi	pretty
						ụ²wo¹gị³hli	foam, beer
						u¹wo²hị²yụ³ha	1. he's confident  2. he has faith
						u¹wo²³hla	1. he's sitting  2. he's at home
						u¹wọ²hlạ³ɂv⁴ɂi	bluff
						ụ²wohl⁴di	funny
						ụ²wo²³tị²da	swollen
						ụ²wo¹ye⁴ni	his hand
						ụ²wu²³yạ²ti	furry
						u²yehl⁴di	reason
						u²ye²lọ³ɂị²sdi	suddenly
						u²ye²lv²ha⁴ɂi	naked
						u¹ye²tsga	he's laughing
						u¹yo²de³ɂa	he's itching
						u¹yo²hu²³sẹ³ha	he's losing it
						u²yo⁴ɂi	bad
						u¹yo³sị²ha	he's hungry
						v²dạ²li	pond, lake
						v²hyu²³gi	disease
						v²le	locust
						v¹sgị²gi³	really?
						v¹sgị²hnv³ ị²yu⁴sdi	therefore, for that reason
						V²³sgị³hyi	December
						v¹sgị²na	that
						wa²³dạ³du²³ga	dragonfly
						wạ²dị³ɂa	he's sending a long object
						wạ²do	thank you
						wa³du²li³si	1. bee  2. honey, syrup, sorghum
						wạ²du²³na	blood vessel
						wah²ga	cow
						wah²ga hạ²wi²ya	beef, steak
						wa²³hụ³hi	owl
						wạ²hṿ³sga	he's sending it
						wạ²hya, wạ²hạ²ya	wolf
						wa²³ji	clock, watch
						wạ²ji¹la	saliva
						wạ²kti	he's heading in the direction of
						wa³le²la	hummingbird
						wạ²lo³si	frog
						wạ²ne³ɂi	hickory tree
						wạ²nị³ge⁴ɂi	soft
						wa³so²hla	moth
						Wa³sv²dạɂ³na	Washington
						we²³sa	cat
						wo²yi, wo²ya	pigeon
						wu²³de³li¹ga	he, it's going out of sight
						wu²³de³li¹gv⁴ɂi	west
						wụ²wa³kdv⁴ɂi	rest of, remnants
						yan²sa	buffalo
						yị²nị²gal³sdị³hạ²gwu ị²lvh³dlv⁴ɂi	anywhere, wherever
						yị²nị²gal³sdị³hạ²gwu kị²lo	anyone
						yo²³na	bear
						yu³da³ha⁴ɂi, ị²yu³da²li²ha⁴ɂi	sometimes
						yv²gi	1. fork, 2. nail, needle
						yv²wạ²gi¹sgi	cannibal
